"","K","exclus","semcoh","heldout","residual","bound","lbound","em.its"
"1",20,9.57211377048992,-67.8791204032377,-7.73856861194533,4.5542372070518,-16276382.406088,-16276340.0704715,98
"2",21,9.6069748545541,-69.0131575040107,-7.72038998188885,4.42413439267014,-16247185.8921371,-16247140.5119982,116
"3",22,9.62159873969844,-69.0631065987659,-7.7205712034834,4.32409805912059,-16240358.0005169,-16240309.5293356,96
"4",23,9.6489796824642,-68.4597011749288,-7.71352490768713,4.30710461977798,-16222023.2045969,-16221971.5979213,110
"5",24,9.63550609852362,-67.9668206982899,-7.70499822641961,4.17516505571603,-16203971.7179612,-16203916.9332318,95
"6",25,9.65785660158268,-72.3785344220732,-7.7067001873542,4.13562499638648,-16196704.3314417,-16196646.3278365,89
"7",26,9.64852239266455,-70.7419564662249,-7.70190120687084,4.06343642924456,-16181761.5791543,-16181700.3174525,81
"8",27,9.67396071926629,-70.3001142863221,-7.69630672889656,4.02748006777842,-16163798.3168636,-16163733.7593249,104
"9",28,9.67504339861531,-70.9794405296936,-7.69582338379283,4.02528748540702,-16150792.0281584,-16150724.1384153,104
"10",29,9.68459464681929,-74.4465848646304,-7.68987219058958,3.95143844675837,-16129175.0120257,-16129103.7549867,95
"11",30,9.70124659730657,-72.6972198889469,-7.68025336784253,3.8748119811007,-16111624.4661825,-16111549.8079462,89
